Cancer	Deletions	Insertions
Bladder	23	11101	5571
Biliary	34	112952	35024
Pancreas	313	93936	91392
Head_neck	56	23756	14602
Liver	314	150392	78977
Ovary	110	59917	27903
Prostate	199	36017	22512
Colorectal	52	208761	132204
Myeloid	38	1177	609
Stomach	67	253355	62045
Cervix	20	3854	3434
Uterus	44	119848	78578
CNS	287	29362	19497
Lymphoid	197	61209	43592
Skin	107	79358	27657
Kidney	186	104359	29518
Breast	211	70333	23088
Esophagus	97	89741	63642
Thyroid	48	3101	1045
Bone_SoftTissue	89	14256	4527
Lung	82	89842	34210
